cell_id,Name,parent_id,start_frame,end_frame,generation
1,P0,0,0,3,0
2,P1,1,4,17,1
3,EMS,2,18,34,2
4,E,3,35,59,3
5,Ea,4,60,86,4
6,Eap,5,87,122,5
7,Eapp,6,123,166,6
8,Eappa,7,167,194,7
9,Eappp,7,167,194,7
10,Eapa,6,123,168,6
11,Eapap,10,169,194,7
12,Eapaa,10,169,194,7
13,Eaa,5,87,120,5
14,Eaap,13,121,165,6
15,Eaapp,14,166,194,7
16,Eaapa,14,166,194,7
17,Eaaa,13,121,162,6
18,Eaaap,17,163,194,7
19,Eaaaa,17,163,194,7
20,Ep,4,60,87,4
21,Epp,20,88,122,5
22,Eppp,21,123,169,6
23,Epppp,22,170,194,7
24,Epppa,22,170,194,7
25,Eppa,21,123,169,6
26,Eppap,25,170,194,7
27,Eppaa,25,170,194,7
28,Epa,20,88,119,5
29,Epap,28,120,166,6
30,Epapp,29,167,194,7
31,Epapa,29,167,194,7
32,Epaa,28,120,163,6
33,Epaap,32,164,194,7
34,Epaaa,32,164,194,7
35,MS,3,35,59,3
36,MSa,35,60,86,4
37,MSaa,36,87,123,5
38,MSaaa,37,124,171,6
39,MSaaaa,38,172,194,7
40,MSaaap,38,172,194,7
41,MSaap,37,124,168,6
42,MSaapa,41,169,194,7
43,MSaapp,41,169,194,7
44,MSap,36,87,120,5
45,MSapp,44,121,168,6
46,MSappa,45,169,194,7
47,MSappp,45,169,194,7
48,MSapa,44,121,163,6
49,MSapap,48,164,194,7
50,MSapaa,48,164,194,7
51,MSp,35,60,87,4
52,MSpa,51,88,126,5
53,MSpap,52,127,177,6
54,MSpapa,53,178,194,7
55,MSpapp,53,178,194,7
56,MSpaa,52,127,169,6
57,MSpaap,56,170,194,7
58,MSpaaa,56,170,194,7
59,MSpp,51,88,119,5
60,MSppp,59,120,162,6
61,MSpppp,60,163,194,7
62,MSpppa,60,163,194,7
63,MSppa,59,120,161,6
64,MSppap,63,162,194,7
65,MSppaa,63,162,194,7
66,P2,2,18,34,2
67,C,66,35,58,3
68,Ca,67,59,85,4
69,Caa,68,86,121,5
70,Caaa,69,122,167,6
71,Caaaa,70,168,194,7
72,Caaap,70,168,194,7
73,Caap,69,122,167,6
74,Caapa,73,168,194,7
75,Caapp,73,168,194,7
76,Cap,68,86,116,5
77,Capa,76,117,153,6
78,Capaa,77,154,194,7
79,Capap,77,154,194,7
80,Capp,76,117,165,6
81,Cappa,80,166,194,7
82,Cappp,80,166,194,7
83,Cp,67,59,86,4
84,Cpa,83,87,119,5
85,Cpaa,84,120,164,6
86,Cpaap,85,165,194,7
87,Cpaaa,85,165,194,7
88,Cpap,84,120,165,6
89,Cpapp,88,166,194,7
90,Cpapa,88,166,194,7
91,Cpp,83,87,117,5
92,Cppp,91,118,158,6
93,Cpppp,92,159,194,7
94,Cpppa,92,159,194,7
95,Cppa,91,118,157,6
96,Cppaa,95,158,194,7
97,Cppap,95,158,194,7
98,P3,66,35,59,3
99,D,98,60,88,4
100,Da,99,89,128,5
101,Daa,100,129,177,6
102,Daaa,101,178,194,7
103,Daap,101,178,194,7
104,Dap,100,129,175,6
105,Dapa,104,176,194,7
106,Dapp,104,176,194,7
107,Dp,99,89,121,5
108,Dpp,107,122,162,6
109,Dppa,108,163,194,7
110,Dppp,108,163,194,7
111,Dpa,107,122,162,6
112,Dpaa,111,163,194,7
113,Dpap,111,163,194,7
114,P4,98,60,87,4
115,P4p,114,88,122,5
116,P4pa,115,123,170,6
117,P4paa,116,171,194,7
118,P4pap,116,171,194,7
119,P4pp,115,123,164,6
120,P4ppa,119,165,194,7
121,P4ppp,119,165,194,7
122,P4a,114,88,120,5
123,P4aa,122,121,164,6
124,P4aaa,123,165,194,7
125,P4aap,123,165,194,7
126,P4ap,122,121,158,6
127,P4apa,126,159,194,7
128,P4app,126,159,194,7
129,AB,1,4,18,1
130,ABa,129,19,34,2
131,ABap,130,35,57,3
132,ABapa,131,58,86,4
133,ABapap,132,87,123,5
134,ABapapp,133,124,170,6
135,ABapappp,134,171,194,7
136,ABapappa,134,171,194,7
137,ABapapa,133,124,173,6
138,ABapapaa,137,174,194,7
139,ABapapap,137,174,194,7
140,ABapaa,132,87,118,5
141,ABapaap,140,119,155,6
142,ABapaapp,141,156,194,7
143,ABapaapa,141,156,194,7
144,ABapaaa,140,119,161,6
145,ABapaaap,144,162,194,7
146,ABapaaaa,144,162,194,7
147,ABapp,131,58,84,4
148,ABappa,147,85,119,5
149,ABappaa,148,120,162,6
150,ABappaaa,149,163,194,7
151,ABappaap,149,163,194,7
152,ABappap,148,120,161,6
153,ABappapp,152,162,194,7
154,ABappapa,152,162,194,7
155,ABappp,147,85,116,5
156,ABapppa,155,117,159,6
157,ABapppaa,156,160,194,7
158,ABapppap,156,160,194,7
159,ABapppp,155,117,160,6
160,ABappppp,159,161,194,7
161,ABappppa,159,161,194,7
162,ABaa,130,35,58,3
163,ABaaa,162,59,86,4
164,ABaaap,163,87,122,5
165,ABaaapa,164,123,170,6
166,ABaaapap,165,171,194,7
167,ABaaapaa,165,171,194,7
168,ABaaapp,164,123,166,6
169,ABaaappa,168,167,194,7
170,ABaaappp,168,167,194,7
171,ABaaaa,163,87,118,5
172,ABaaaaa,171,119,160,6
173,ABaaaaaa,172,161,194,7
174,ABaaaaap,172,161,194,7
175,ABaaaap,171,119,158,6
176,ABaaaapa,175,159,194,7
177,ABaaaapp,175,159,194,7
178,ABaap,162,59,86,4
179,ABaapa,178,87,123,5
180,ABaapap,179,124,171,6
181,ABaapapp,180,172,194,7
182,ABaapapa,180,172,194,7
183,ABaapaa,179,124,167,6
184,ABaapaaa,183,168,194,7
185,ABaapaap,183,168,194,7
186,ABaapp,178,87,119,5
187,ABaappp,186,120,162,6
188,ABaapppp,187,163,194,7
189,ABaapppa,187,163,194,7
190,ABaappa,186,120,160,6
191,ABaappap,190,161,194,7
192,ABaappaa,190,161,194,7
193,ABp,129,19,34,2
