t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro,cluster
4,0.0,0.0,0.0,1,,,,0.0,-0.7218632017498403,2.6247588550919773e-08,,2
5,0.0,0.0,0.0,1,,,,0.0,-0.6881663933681714,4.133006403994912e-09,,2
6,0.0,0.0,0.0,1,,,,0.0,-0.3941254043070999,-9.976397707605703e-09,,2
7,0.0,0.0,0.0,1,,,,0.0,0.0667246747411524,-1.730271512363714e-08,,2
8,0.0,0.0,0.0,1,,,,0.0,0.6008487530843638,-1.9068037183854464e-08,,2
9,0.0,0.0,0.0,1,,,,0.0,1.1147117400303121,-1.6494455228012748e-08,,2
10,0.0,0.0,0.0,1,,,,0.0,1.5147785448867754,-1.0804060595867037e-08,,2
11,0.0,0.0,0.0,1,,,,0.0,1.7075140769615333,-3.218944627172436e-09,,2
12,0.0,0.0,0.0,1,,,,0.0,1.5993832455623624,5.038801338316003e-09,,2
13,0.0,0.0,0.0,1,,,,0.0,1.0968509599970417,1.2747085960843241e-08,,2
14,0.0,0.0,0.0,1,,,,0.0,0.10638212957312443,1.868381790065303e-08,,2
15,0.0,0.0,0.0,1,,,,0.0,-2.2585877661092963,1.7493312983257868e-08,,2
16,0.0,0.0,0.0,1,,,,0.0,-5.340130569689278,1.8100515425186464e-08,,2
17,0.0,0.0,0.0,1,,,,0.0,-9.355760661610399,-1.886603714768232e-08,,2
18,0.0,0.0,0.0,1,,,,0.0,-14.14194951361932,-3.966734704512281e-08,,2
19,633.5,1.431758979159816e-15,-5.435805594596914e-16,2,307.0,154.5,14.5,633.5,5.724946124588094,-4.154122421324271e-08,,2
20,663.5,2.7392973361813617e-15,-4.5156541755816145e-15,2,304.5,152.0,16.5,30.0,0.23984604640155638,-6.236297622671724e-08,,2
21,833.5,1.753566622086558e-15,-1.753566622086558e-15,2,294.5,157.0,17.5,170.0,-2.926280114792476,-1.0827895240038069e-07,,2
22,1882.75,2.1748676197970736e-15,-2.1748676197970736e-15,2,293.5,161.5,17.5,1049.25,5.425645810875416,-1.0940151002196678e-07,,0
23,2468.75,5.774546859195329e-14,-9.020497311452807e-16,2,285.5,167.5,17.5,586.0,6.351210543738311,6.870941306647213e-08,,0
24,2377.25,1.1641875786212694e-13,-2.7319201405109275e-15,2,286.5,172.0,18.0,91.5,0.6502634312711209,1.4295436535906817e-07,,0
25,2958.5,1.2311107403257828e-13,-2.3188089533612666e-15,2,285.5,171.0,18.5,581.25,3.72595790081364,0.5966940694834522,,0
26,3461.0,2.8462648277851876e-13,-4.0938847447870307e-16,2,281.0,171.0,18.0,502.5,6.613490780867558,0.9813709239341631,,0
27,3441.25,8.60586290308641e-15,-6.544928176389442e-14,2,276.0,170.5,18.0,19.75,5.696118700859834,1.0962256674220856,,0
28,3350.75,1.1377808887492393e-13,-9.12511533079108e-17,2,272.5,174.5,18.5,90.5,5.51531491878265,1.042931330553359,,0
29,3340.25,7.192114345993727e-15,-7.192114345993745e-15,2,273.0,172.5,18.0,10.5,7.601519639517136,0.6185380035858837,,0
30,2470.25,7.947170805981737e-15,-1.1808129484879726e-13,2,282.0,171.5,18.0,870.0,0.44940032310547195,-0.3069529193200257,,0
31,1926.25,1.0061853380782712e-16,-1.7063087511623188e-13,2,280.0,170.5,18.0,544.0,-4.441163594019898,-1.6177851768325673,,0
32,1410.0,1.7064865127243498e-13,-3.671108368811442e-15,2,284.0,171.0,18.0,516.25,-9.863984725622316,-3.1445357665512614,,2
33,1401.5,1.1387443090939428e-13,3.3651204910222096e-15,2,279.5,166.5,18.0,8.5,-9.978822927520774,-4.642639259773861,,2
34,992.25,2.89547158028859e-14,3.0197073063186063e-15,2,291.0,173.0,18.5,409.25,-16.572280774839548,-6.536928276630148,,2
35,2394.791185268783,113.93836940691723,10.145445324299322,4,286.75,167.25,17.0,1407.1981589168947,0.07379354370610969,2.1363993547320668,,0
36,2776.2679970355557,164.1356889988297,11.97131396561492,4,287.75,168.0,17.25,384.7696227695862,2.3550313328546295,2.312310186050073,,0
37,2699.6633038066593,209.61369113489803,8.848005058442183,4,288.5,168.75,17.75,89.14192482502936,-0.6668061958514286,1.9969209203497744,,0
38,3301.995721554955,329.05780836044744,10.821470084597726,4,291.0,164.75,17.75,614.064437314609,2.19946730290318,4.096495938506354,,0
39,4517.775267940957,374.7730899899604,17.3266420690823,4,288.25,166.0,17.75,1216.656118074276,8.92189168211565,4.288645631109292,,0
40,4795.95400612894,319.30419794292226,20.929295928137552,4,287.75,165.5,17.5,283.6779643885167,7.478057703457793,1.809481433142647,,0
41,4557.634713203472,271.9200673868558,15.50771940967294,4,285.25,164.25,17.75,243.04471749247108,2.5267436967461805,-0.18693610935980232,,0
42,4479.744894100285,266.68711030593386,16.442995593781177,4,288.25,161.0,18.25,78.07100935224598,-0.45160384049179925,-0.8919370525468153,,0
43,4593.9456841267165,379.9860584853885,18.505757387894537,4,287.75,158.0,18.5,160.88109611589277,-1.075796987536478,2.322163228545744,-0.16273825762366112,0
44,4631.657884969116,251.480983541827,24.048631489056618,4,288.75,156.5,18.5,134.03912798854358,-1.9848842174352797,-0.927159405550869,0.4468525040332363,0
45,4756.349349940443,202.90397187764404,14.746678181913175,4,292.0,157.0,18.0,134.14251315017975,-1.0440185361894834,-1.656164700382119,-0.4816170051262363,0
46,4826.128397792128,180.0574772604969,18.251624947374747,4,289.5,159.0,17.25,73.50756755061245,-0.7913398252426731,-1.9565995638978855,-0.05325200405944219,0
47,4693.321469796381,104.65121912840804,20.9023110752119,4,286.25,159.25,18.0,152.74426348016837,-1.5109970050394992,-4.513220519967653,0.27396657604442254,0
48,4908.9784186044235,152.67411133711664,15.284970058460006,4,288.0,158.25,17.5,221.0105704833646,0.9177963693534252,-1.5800599530808537,-0.30943332194409257,0
49,4910.3675154103,293.68819247031377,16.38179211938557,4,290.0,154.75,17.5,141.02518812754454,1.3626302532750145,3.7212406769375495,-0.018882645203802895,0
50,4745.125754166167,223.51545228773318,15.48379354610006,4,290.25,155.75,17.5,179.52676548423827,0.15413085040883345,1.5627764909754251,0.000737120126220514,0
51,4401.876649331365,273.00987486589395,18.55097580274096,4,284.5,153.75,18.0,346.81270657695615,-2.000797977007096,2.931288669653961,0.4169598225332405,0
52,4841.482858720947,161.96884499664552,16.298296282408476,4,282.5,157.0,18.0,453.41901615759497,1.6027597708748118,-1.0693431762496957,0.21904883225077576,0
53,5037.790210801808,232.57970144830801,14.380087749884252,4,281.5,158.5,17.5,208.6292142865201,3.546841915727768,1.143048195395945,0.03649334888553346,0
54,4349.621090429394,188.61431941206044,13.139590158545625,4,276.75,162.0,17.25,689.5732244555392,-1.0757363135140565,-1.3036003853210083,-0.13302321759707425,0
55,4017.347587145835,180.28991369597392,12.299999158191735,4,275.75,165.0,17.5,332.37882247204493,-3.5740456063361137,-2.5581139870006453,-0.34060627553538847,0
56,4175.928142986443,196.6551023738195,12.10425463973659,4,278.5,164.25,17.5,159.42286663805243,-2.299077660089864,-2.9947634976920465,-0.40598361488577384,0
57,4653.407275097961,252.7553336085203,13.837391293518433,4,280.5,166.0,17.5,480.76663913921493,1.166879965362881,-2.4096932515579006,-0.24997853860738273,0
58,4983.895746603628,421.04813911663587,11.536114279735113,5,270.0,168.4,18.6,370.87786946626863,3.3924653203999924,1.008273465094458,-0.7004777954839456,0
59,4079.9643728146016,557.3528773621307,18.01608315660157,6,265.3333333333333,168.33333333333334,19.333333333333332,914.1733425258773,-3.475848752537523,2.764942927526608,0.05712149790555898,0
60,3916.9780875150245,525.1274392007094,24.62916716181712,7,260.14285714285717,169.85714285714286,18.285714285714285,166.27309145051328,-4.99715986247579,0.24067958994358207,0.6496578786702782,0
