t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
35,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1,,,,0.0,0.7851002928365681,1.3328176430492316e-08,
50,0.0,0.0,0.0,1,,,,0.0,1.4711306007434979,8.284680582202347e-09,
51,0.0,0.0,0.0,1,,,,0.0,1.6149270857892666,,
52,0.0,0.0,0.0,1,,,,0.0,1.5074593907605625,,
53,0.0,0.0,0.0,1,,,,0.0,1.3297578558103287,,
54,0.0,0.0,0.0,1,,,,0.0,0.5801064938156071,,
55,0.0,0.0,0.0,1,,,,0.0,-0.9288562700134262,,
56,0.0,0.0,0.0,1,,,,0.0,-3.001867955669069,,
57,0.0,0.0,0.0,1,,,,0.0,-6.138442274117,,
58,0.0,0.0,0.0,1,,,,0.0,-9.747664368826744,,
59,197.25,5.684708491791359e-14,-3.666057105571021e-18,2,163.0,339.5,17.0,197.25,0.46582624273131223,,
60,403.0,1.7839219764413542e-15,-1.1369440285865714e-13,2,166.0,354.0,17.0,205.75,2.2093913319465734,,
61,428.75000000000006,-4.447281329002458e-16,-1.709737068692239e-13,2,171.5,358.5,16.5,25.750000000000057,-1.6536514730541398,,
62,661.5,1.14893347656601e-14,-9.712977926259869e-15,2,163.5,355.5,17.0,232.74999999999994,-1.211241283388894,,
63,1263.5,1.141355513171032e-13,-4.487135954871976e-16,2,167.5,355.5,17.0,602.0,4.588927678712604,,
64,1628.25,9.609615781225032e-15,-1.0497794200925188e-14,2,171.5,354.0,16.0,364.75,5.595621037651661,,
65,1797.5,5.918232176881919e-15,-5.0300537571818e-15,2,168.5,353.0,16.5,169.25,4.432830071897122,,
66,2181.9999999999995,-2.3532432319643612e-15,-4.559468213333004e-13,2,172.0,351.0,16.0,384.49999999999955,5.837746225759929,,
