t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
18,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1,,,,0.0,0.9232068390324031,1.703787717657152e-09,
51,0.0,0.0,0.0,1,,,,0.0,1.4319352807584886,,
52,0.0,0.0,0.0,1,,,,0.0,1.8815473974671253,,
53,0.0,0.0,0.0,1,,,,0.0,1.6801741913404884,,
54,0.0,0.0,0.0,1,,,,0.0,0.7661110442180357,,
55,0.0,0.0,0.0,1,,,,0.0,-0.596760664168939,,
56,0.0,0.0,0.0,1,,,,0.0,-2.4286827585861253,,
57,0.0,0.0,0.0,1,,,,0.0,-4.661110877586915,,
58,0.0,0.0,0.0,1,,,,0.0,-7.609456922599045,,
59,0.0,0.0,0.0,1,,,,0.0,-10.55311278517635,,
60,272.75,9.28961465968767e-16,-2.846249247667265e-14,2,133.5,264.5,16.5,272.75,2.9685359748382876,,
61,334.0,-1.0877281126172105e-15,-5.753204758759107e-14,2,136.0,276.0,18.0,61.25,2.075232608930161,,
62,697.25,0.0,0.0,2,138.0,275.5,19.0,363.25,7.529713608898888,,
63,750.5000000000001,8.910350569350497e-16,-8.615616334814709e-14,2,135.5,281.5,19.0,53.250000000000114,6.716626354338928,,
64,691.0,1.4135855663715297e-16,-5.698477741744517e-14,2,136.0,281.0,19.0,59.500000000000114,3.71563072807621,,
65,766.25,5.749072630993802e-14,-6.473074491300067e-16,2,135.5,271.0,19.0,75.25,3.249705787195058,,
66,781.25,-3.972818254013884e-15,-5.997602796439513e-14,2,136.0,266.0,19.5,15.0,2.700141321439972,,
67,782.75,1.490970637413793e-14,-1.8462420052938433e-14,2,133.5,274.5,19.5,1.5,2.2480681729248637,,
68,430.25000000000006,2.9500188649118195e-17,-5.687291904945714e-14,2,129.0,273.0,18.5,352.49999999999994,-4.875016247012951,,
69,430.25000000000006,3.554811259405734e-15,-5.684551644141325e-14,2,127.5,276.0,18.0,3.525417570803034e-15,-3.824884125974986,,
70,344.25,5.081418092892922e-15,-2.995041384449643e-14,2,127.5,275.0,18.0,86.00000000000006,-4.003164772493751,,
71,436.9999999999999,8.536460667265909e-14,-3.652192060247571e-15,2,131.0,272.0,18.0,92.74999999999989,-0.6072956477427276,,
72,289.5,9.118693990109596e-15,-7.342337150709348e-15,2,128.0,279.5,17.5,147.4999999999999,-3.2065656632608324,,
73,662.25,4.351729651340097e-15,-6.1280864907403534e-15,2,134.0,275.0,18.5,372.75,6.438416187672626,,
74,444.75,1.7511762899966364e-14,-1.5245513453641106e-15,2,136.5,279.5,17.5,217.5,2.408415632409973,,
75,211.5,7.94358715092407e-15,-8.381597933230726e-16,2,134.0,280.5,17.5,233.25,-3.579021821257104,,
76,448.25,2.3810905102910602e-15,-4.15744734969131e-15,2,137.0,271.0,18.5,236.75,2.5246476081955116,,
77,327.5,7.498911289083219e-15,-3.9348393148221814e-16,2,133.5,273.0,17.5,120.75,-1.2728378351705878,0.16666513942800643,
78,274.25,1.0927682562696306e-14,-2.695415262948037e-16,2,137.0,269.5,18.0,53.25,-3.5870125645571136,0.28369556113021066,
79,373.25,0.0,0.0,2,139.0,263.0,18.5,99.0,-1.4347340483038202,0.4706205799969773,
80,530.75,2.129672329872533e-15,-3.5331549047228305e-16,2,140.5,269.5,18.5,157.5,1.6056883953169034,0.5224479139182295,
81,396.5,4.348938204472838e-16,-4.348938204472838e-16,2,142.5,270.0,18.5,134.25,-2.0562627348649016,0.25108398531509485,
82,512.75,5.438763485207118e-16,-1.432054768220837e-15,2,149.5,269.5,18.5,116.25,-0.1960343219046159,0.03261150544973755,
83,742.0,1.794413996707218e-15,-9.062355770070932e-16,2,151.0,273.0,18.0,229.25,3.3017930275805725,-0.5840398391881177,
84,844.25,7.246143556163392e-15,-1.0288946182625143e-15,2,152.0,277.5,18.0,102.25,2.8876368453839767,-1.2899412025121855,
85,1132.5,1.6734008562021325e-16,-1.3490016381122091e-14,2,153.5,274.5,18.0,288.25,5.073355848180547,-1.9244670463591462,
86,656.5,0.0,-8.881784197001252e-16,2,149.5,264.0,17.5,476.0,-5.020021444568947,-2.584421768144419,
87,766.2220429055391,8.889068205571935,-6.329572283262449e-16,3,150.0,260.6666666666667,16.666666666666668,110.08152539335684,-5.260831171325432,-0.25632541211336113,
88,1111.252504791064,14.061803785768738,0.12319142316723154,4,156.25,265.0,17.5,345.0692568144083,-1.9602652437820254,0.03225005740374254,
89,1189.3491018252912,47.7366795480371,0.03921862667152495,4,159.25,264.5,17.25,85.04753245897983,-2.883881181032187,2.745180446285593,
90,1478.4967771983388,62.99924442640908,0.003978375252161645,4,160.5,262.5,17.0,289.5502120568713,-0.881792800900115,3.3849234198602245,
91,1943.5952955069158,33.26454067804366,1.5776638150405193,4,163.75,263.0,16.5,466.0507062817309,2.411364726749291,0.8049970600661043,
92,2414.741380239958,74.92711286235328,3.4565068976884565,4,167.25,261.75,16.5,472.988301262956,5.5565598074523805,3.3999539838205903,
93,2397.365642019201,22.49454430652573,1.7648136742730618,4,167.75,256.5,16.75,55.2625763970517,3.5059864544643204,-0.8747072189611202,
94,2358.2378997343235,13.51171373304755,5.625386532628639,4,167.75,256.0,16.75,40.33082548396794,1.2268007102121175,-2.121148792199187,
95,2246.245166167992,21.27133800648088,0.10849582552713757,4,166.5,255.75,16.75,112.39670913153226,-1.6064513061504329,-1.249197307057286,
96,2256.7122883461357,16.989235139488823,0.48597651437540546,4,167.5,254.25,16.5,11.315455948663391,-3.195971714039061,-1.7623502748811664,
97,2761.462368616071,13.412653111505572,1.062478272423455,4,169.75,253.0,16.5,504.7630808862573,1.0865649387996257,-2.1379698597919194,
98,2551.2246809271537,32.39780353852051,1.9400155343260128,4,170.25,250.75,15.75,211.09498178110542,-1.2741848887922558,-0.052696974339806246,0.27906083693512995
99,2692.677508650733,37.59546990022647,0.4770214490405154,4,172.5,249.5,15.5,141.55584960819473,-0.15954105518369488,0.681376750587237,-0.3703168202661815
100,3032.913001848261,47.89814251036076,1.0638556413779252,4,174.0,252.75,15.75,340.3919509457383,2.901557846377976,1.584085539996166,0.0706701336898995
101,2761.1123659776404,40.43295960407063,0.07967441828908743,4,175.25,252.5,16.25,271.9049157852391,0.20333268907192092,0.8835749411425375,-0.5284845345282875
102,2758.6263698040534,57.16081516329004,1.587815032656538,4,174.75,247.75,16.0,16.978687131162445,-0.01958311022109882,2.0932681479928545,0.49750544283256737
103,2600.0309990080386,33.12326597642065,0.03323501554082915,4,171.5,245.5,16.25,160.4141892971635,-1.8823246541118834,0.011970256270126711,-0.6147622117646538
104,2584.3313696205123,48.66781626505144,1.9383141144358913,4,174.25,240.0,16.5,22.175227912120743,-2.3220651253728306,0.8013148352490784,0.6210034398984335
105,2643.401544470731,53.90542080932394,0.6930347199448902,4,175.5,239.0,16.5,59.31499624014106,-1.6762538463373104,0.6446547590297245,-0.05956273473695406
106,2730.0067479135255,38.25399189415962,1.1142601923144877,4,178.75,234.75,16.0,88.00912408013626,-0.25877408630625354,-1.2272118389001871,0.16791506144968216
107,2738.1876670966117,26.25061096534528,1.1867219380423963,4,175.5,229.75,16.25,14.526315537912748,0.7690561062606776,-2.9815821592574308,0.18702339546430202
108,2848.267571529027,30.361327347354756,0.058601123617580075,4,172.5,226.5,16.25,110.16240740649667,2.672004927126089,-3.3786820198293555,-0.7088240410035527
109,2882.2554787304607,81.36184017997229,0.8201810895666786,4,172.5,220.75,16.0,61.29282298253026,4.397319371574831,-0.9641886283674079,-0.1244562488901445
110,2588.206527219469,125.37142114770322,1.2970516328273176,4,169.75,221.25,16.0,297.32449698466456,2.839755104022828,0.04771400397337899,0.09529120579579864
111,2213.6962277922676,136.79886064572148,2.0674115620109816,4,166.75,219.75,15.25,374.6853936370532,-0.10562750372314866,-0.9236468810285139,0.3429747468997584
112,2113.611421306081,221.16493518352888,1.4111435103907997,4,164.0,217.25,15.0,130.9008545046665,-0.23933757265650968,1.0282869173418074,0.12670761858515855
113,2004.8579834470538,345.93502224997826,0.8319943029678424,4,163.75,220.5,14.75,165.51501529024821,-0.5257370916484092,3.684501731422621,-0.25856996209362837
114,1673.8534504938775,293.3955237963103,2.626025709811806,4,167.75,214.0,14.75,335.15312661826994,-3.501934809268434,1.3845342148541953,0.42006304539683637
115,1615.9653595141795,302.012644817956,1.5844956678639384,4,166.75,214.25,14.25,58.53520852276662,-3.501284326016318,0.7051563201890545,-0.012979096621284825
116,1674.4791645498262,314.79973088254735,1.5961045676258794,4,167.75,212.0,14.25,59.894699970360506,-2.226779526977218,0.19495477029323993,-0.0555618283333843
117,1696.6358710114635,386.8096891352822,1.6169398532545196,4,167.75,208.25,14.25,75.3415832253139,-1.7042385505113131,1.4839402201655858,-0.11122857854515855
