t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
35,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1,,,,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1,,,,0.0,1.6653319501601236,2.66571400403433e-08,
51,0.0,0.0,0.0,1,,,,0.0,2.5398523817031253,1.2030384063025295e-08,
52,0.0,0.0,0.0,1,,,,0.0,3.0922670834579846,1.2274881837603052e-09,
53,0.0,0.0,0.0,1,,,,0.0,3.1389663699199493,-9.30534337756751e-09,
54,0.0,0.0,0.0,1,,,,0.0,1.9484493769015059,1.0381734342495561e-08,
55,0.0,0.0,0.0,1,,,,0.0,-0.5557830073645713,-1.8071556313907785e-08,
56,0.0,0.0,0.0,1,,,,0.0,-4.193952549277143,-4.145126873663121e-08,
57,0.0,0.0,0.0,1,,,,0.0,-8.692791058002898,-1.869708187991303e-08,
58,0.0,0.0,0.0,1,,,,0.0,-13.888079869687932,-6.302391674357426e-08,
59,0.0,0.0,0.0,1,,,,0.0,-19.174612315285657,-8.301054870209747e-08,
60,887.5,2.27401769719737e-13,-2.809427650495871e-17,2,191.5,208.5,14.0,887.5,5.446382793467329,3.5251311666110715e-07,
61,1036.5,1.0689535099118259e-17,-2.2738436497833114e-13,2,192.5,210.0,14.5,149.0,2.693761763154189,-1.5461691657618188e-07,
62,1812.75,2.079682682661978e-15,-2.1351938338932435e-15,2,193.5,210.5,14.5,776.25,8.296763685195167,-1.2214092336662918e-07,
63,2868.5,2.2745128367525194e-15,-2.2745128367525194e-15,2,194.0,214.5,14.5,1055.75,14.767598484375988,-1.510994891769039e-07,
64,3032.2499999999995,3.4110613005084296e-13,-4.561688599491333e-17,2,192.5,221.0,15.0,163.74999999999955,12.465554551977974,3.6427736758893386e-07,
