t,cell_id,z,y,x,volume,Name
0,1,17.0,251.0,189.0,75.0,P0
0,256,17.0,153.0,387.0,75.0,Unknown_256
0,511,16.0,366.0,380.0,75.0,Unknown_511
0,640,18.0,269.0,562.0,75.0,Unknown_640
1,1,17.0,226.0,190.0,75.0,P0
1,256,16.0,163.0,395.0,75.0,Unknown_256
1,511,17.0,385.0,365.0,75.0,Unknown_511
1,640,18.0,254.0,556.0,75.0,Unknown_640
2,1,17.0,234.0,201.0,75.0,P0
2,256,17.0,178.0,397.0,75.0,Unknown_256
2,511,17.0,388.0,347.0,75.0,Unknown_511
2,640,18.0,251.0,551.0,75.0,Unknown_640
3,1,15.0,234.0,209.0,75.0,P0
3,256,16.0,198.0,388.0,75.0,Unknown_256
3,511,17.0,388.0,362.0,75.0,Unknown_511
3,640,17.0,246.0,554.0,75.0,Unknown_640
4,2,13.0,247.0,198.0,75.0,P1
4,129,19.0,230.0,214.0,75.0,AB
4,257,13.0,197.0,379.0,75.0,Unknown_257
4,384,19.0,186.0,395.0,75.0,Unknown_384
4,511,18.0,391.0,383.0,75.0,Unknown_511
4,640,15.0,237.0,538.0,75.0,Unknown_640
5,2,14.0,261.0,182.0,75.0,P1
5,129,19.0,197.0,211.0,75.0,AB
5,257,11.0,211.0,388.0,75.0,Unknown_257
5,384,18.0,173.0,416.0,75.0,Unknown_384
5,511,20.0,365.0,378.0,75.0,Unknown_511
5,640,16.0,284.0,537.0,75.0,Unknown_640
6,2,16.0,273.0,180.0,75.0,P1
6,129,17.0,193.0,225.0,75.0,AB
6,257,11.0,230.0,389.0,75.0,Unknown_257
6,384,16.0,168.0,427.0,75.0,Unknown_384
6,511,20.0,335.0,379.0,75.0,Unknown_511
6,640,18.0,302.0,534.0,75.0,Unknown_640
7,2,17.0,278.0,164.0,75.0,P1
7,129,19.0,171.0,229.0,75.0,AB
7,257,10.0,249.0,383.0,75.0,Unknown_257
7,384,15.0,160.0,438.0,75.0,Unknown_384
7,512,22.0,331.0,354.0,75.0,Unknown_512
7,609,22.0,339.0,399.0,75.0,Unknown_609
7,640,18.0,303.0,534.0,75.0,Unknown_640
8,2,16.0,304.0,156.0,75.0,P1
8,129,19.0,151.0,228.0,75.0,AB
8,257,10.0,253.0,384.0,75.0,Unknown_257
8,384,20.0,145.0,429.0,75.0,Unknown_384
8,512,22.0,336.0,354.0,75.0,Unknown_512
8,609,21.0,349.0,427.0,75.0,Unknown_609
8,640,17.0,283.0,543.0,75.0,Unknown_640
9,2,14.0,309.0,159.0,75.0,P1
9,129,19.0,140.0,241.0,75.0,AB
9,257,10.0,274.0,377.0,75.0,Unknown_257
9,384,22.0,149.0,426.0,75.0,Unknown_384
9,512,22.0,345.0,347.0,75.0,Unknown_512
9,609,20.0,352.0,434.0,75.0,Unknown_609
9,640,19.0,275.0,534.0,75.0,Unknown_640
10,2,13.0,302.0,162.0,75.0,P1
10,129,18.0,138.0,248.0,75.0,AB
10,257,11.0,292.0,366.0,75.0,Unknown_257
10,384,23.0,148.0,415.0,75.0,Unknown_384
10,512,24.0,346.0,326.0,75.0,Unknown_512
10,609,20.0,359.0,438.0,75.0,Unknown_609
10,640,17.0,287.0,533.0,75.0,Unknown_640
11,2,13.0,311.0,169.0,75.0,P1
11,129,17.0,143.0,259.0,75.0,AB
11,257,11.0,309.0,358.0,75.0,Unknown_257
11,384,23.0,164.0,413.0,75.0,Unknown_384
11,512,25.0,345.0,310.0,75.0,Unknown_512
11,609,20.0,355.0,450.0,75.0,Unknown_609
11,641,15.0,257.0,527.0,75.0,Unknown_641
11,702,17.0,312.0,548.0,75.0,Unknown_702
12,2,15.0,325.0,159.0,75.0,P1
12,129,17.0,140.0,247.0,75.0,AB
12,257,10.0,324.0,357.0,75.0,Unknown_257
12,384,23.0,163.0,429.0,75.0,Unknown_384
12,512,25.0,326.0,309.0,75.0,Unknown_512
12,609,19.0,352.0,463.0,75.0,Unknown_609
12,641,14.0,243.0,518.0,75.0,Unknown_641
12,702,18.0,313.0,546.0,75.0,Unknown_702
13,2,15.0,312.0,162.0,75.0,P1
13,129,15.0,146.0,257.0,75.0,AB
13,257,11.0,344.0,361.0,75.0,Unknown_257
13,384,21.0,158.0,440.0,75.0,Unknown_384
13,512,23.0,311.0,305.0,75.0,Unknown_512
13,609,20.0,348.0,482.0,75.0,Unknown_609
13,641,13.0,240.0,517.0,75.0,Unknown_641
13,702,20.0,311.0,552.0,75.0,Unknown_702
14,2,16.0,310.0,161.0,75.0,P1
14,129,15.0,140.0,264.0,75.0,AB
14,257,12.0,355.0,363.0,75.0,Unknown_257
14,384,22.0,163.0,448.0,75.0,Unknown_384
14,512,23.0,302.0,306.0,75.0,Unknown_512
14,609,20.0,352.0,479.0,75.0,Unknown_609
14,641,13.0,246.0,514.0,75.0,Unknown_641
14,702,21.0,322.0,555.0,75.0,Unknown_702
15,2,17.0,306.0,158.0,75.0,P1
15,129,14.0,139.0,272.0,75.0,AB
15,257,12.0,358.0,353.0,75.0,Unknown_257
15,384,23.0,154.0,459.0,75.0,Unknown_384
15,512,23.0,298.0,311.0,75.0,Unknown_512
15,609,20.0,353.0,481.0,75.0,Unknown_609
15,641,11.0,249.0,508.0,75.0,Unknown_641
15,702,21.0,316.0,577.0,75.0,Unknown_702
16,2,17.0,288.0,150.0,75.0,P1
16,129,13.0,143.0,283.0,75.0,AB
16,257,11.0,359.0,327.0,75.0,Unknown_257
16,384,23.0,154.0,463.0,75.0,Unknown_384
16,512,23.0,299.0,316.0,75.0,Unknown_512
16,609,21.0,351.0,478.0,75.0,Unknown_609
16,641,10.0,254.0,500.0,75.0,Unknown_641
16,702,20.0,316.0,577.0,75.0,Unknown_702
17,2,17.0,276.0,162.0,75.0,P1
17,129,14.0,160.0,301.0,75.0,AB
17,257,12.0,359.0,320.0,75.0,Unknown_257
17,384,21.0,174.0,452.0,75.0,Unknown_384
17,512,24.0,295.0,321.0,75.0,Unknown_512
17,609,20.0,354.0,475.0,75.0,Unknown_609
17,641,10.0,257.0,492.0,75.0,Unknown_641
17,702,20.0,324.0,571.0,75.0,Unknown_702
18,3,15.0,251.0,161.0,75.0,EMS
