CellID,Name,Duration,Start,End,Dataset
1,P0,4,0,3,01
2,AB,14,4,17,01
3,AB_1,17,18,34,01
4,AB_1a,25,35,59,01
5,AB_1aa,27,60,86,01
6,AB_1aaa,36,87,122,01
7,AB_1aaaa,44,123,166,01
8,AB_1aaaaa,28,167,194,01
9,AB_1aaaap,28,167,194,01
10,AB_1aaap,46,123,168,01
11,AB_1aaapa,26,169,194,01
12,AB_1aaapp,26,169,194,01
13,AB_1aap,34,87,120,01
14,AB_1aapa,45,121,165,01
15,AB_1aapaa,29,166,194,01
16,AB_1aapap,29,166,194,01
17,AB_1aapp,42,121,162,01
18,AB_1aappa,32,163,194,01
19,AB_1aappp,32,163,194,01
20,AB_1ap,28,60,87,01
21,AB_1apa,35,88,122,01
22,AB_1apaa,47,123,169,01
23,AB_1apaaa,25,170,194,01
24,AB_1apaap,25,170,194,01
25,AB_1apap,47,123,169,01
26,AB_1apapa,25,170,194,01
27,AB_1apapp,25,170,194,01
28,AB_1app,32,88,119,01
29,AB_1appa,47,120,166,01
30,AB_1appaa,28,167,194,01
31,AB_1appap,28,167,194,01
32,AB_1appp,44,120,163,01
33,AB_1apppa,31,164,194,01
34,AB_1apppp,31,164,194,01
35,AB_1p,25,35,59,01
36,AB_1pa,27,60,86,01
37,AB_1paa,37,87,123,01
38,AB_1paaa,48,124,171,01
39,AB_1paaaa,23,172,194,01
40,AB_1paaap,23,172,194,01
41,AB_1paap,45,124,168,01
42,AB_1paapa,26,169,194,01
43,AB_1paapp,26,169,194,01
44,AB_1pap,34,87,120,01
45,AB_1papa,48,121,168,01
46,AB_1papaa,26,169,194,01
47,AB_1papap,26,169,194,01
48,AB_1papp,43,121,163,01
49,AB_1pappa,31,164,194,01
50,AB_1pappp,31,164,194,01
51,AB_1pp,28,60,87,01
52,AB_1ppa,39,88,126,01
53,AB_1ppaa,51,127,177,01
54,AB_1ppaaa,17,178,194,01
55,AB_1ppaap,17,178,194,01
56,AB_1ppap,43,127,169,01
57,AB_1ppapa,25,170,194,01
58,AB_1ppapp,25,170,194,01
59,AB_1ppp,32,88,119,01
60,AB_1pppa,43,120,162,01
61,AB_1pppaa,32,163,194,01
62,AB_1pppap,32,163,194,01
63,AB_1pppp,42,120,161,01
64,AB_1ppppa,33,162,194,01
65,AB_1ppppp,33,162,194,01
66,AB_2,17,18,34,01
67,AB_2a,24,35,58,01
68,AB_2aa,27,59,85,01
69,AB_2aaa,36,86,121,01
70,AB_2aaaa,46,122,167,01
71,AB_2aaaaa,27,168,194,01
72,AB_2aaaap,27,168,194,01
73,AB_2aaap,46,122,167,01
74,AB_2aaapa,27,168,194,01
75,AB_2aaapp,27,168,194,01
76,AB_2aap,31,86,116,01
77,AB_2aapa,37,117,153,01
78,AB_2aapaa,41,154,194,01
79,AB_2aapap,41,154,194,01
80,AB_2aapp,49,117,165,01
81,AB_2aappa,29,166,194,01
82,AB_2aappp,29,166,194,01
83,AB_2ap,28,59,86,01
84,AB_2apa,33,87,119,01
85,AB_2apaa,45,120,164,01
86,AB_2apaaa,30,165,194,01
87,AB_2apaap,30,165,194,01
88,AB_2apap,46,120,165,01
89,AB_2apapa,29,166,194,01
90,AB_2apapp,29,166,194,01
91,AB_2app,31,87,117,01
92,AB_2appa,41,118,158,01
93,AB_2appaa,36,159,194,01
94,AB_2appap,36,159,194,01
95,AB_2appp,40,118,157,01
96,AB_2apppa,37,158,194,01
97,AB_2apppp,37,158,194,01
98,AB_2p,25,35,59,01
99,AB_2pa,29,60,88,01
100,AB_2paa,40,89,128,01
101,AB_2paaa,49,129,177,01
102,AB_2paaaa,17,178,194,01
103,AB_2paaap,17,178,194,01
104,AB_2paap,47,129,175,01
105,AB_2paapa,19,176,194,01
106,AB_2paapp,19,176,194,01
107,AB_2pap,33,89,121,01
108,AB_2papa,41,122,162,01
109,AB_2papaa,32,163,194,01
110,AB_2papap,32,163,194,01
111,AB_2papp,41,122,162,01
112,AB_2pappa,32,163,194,01
113,AB_2pappp,32,163,194,01
114,AB_2pp,28,60,87,01
115,AB_2ppa,35,88,122,01
116,AB_2ppaa,48,123,170,01
117,AB_2ppaaa,24,171,194,01
118,AB_2ppaap,24,171,194,01
119,AB_2ppap,42,123,164,01
120,AB_2ppapa,30,165,194,01
121,AB_2ppapp,30,165,194,01
122,AB_2ppp,33,88,120,01
123,AB_2pppa,44,121,164,01
124,AB_2pppaa,30,165,194,01
125,AB_2pppap,30,165,194,01
126,AB_2pppp,38,121,158,01
127,AB_2ppppa,36,159,194,01
128,AB_2ppppp,36,159,194,01
129,P1,15,4,18,01
130,EMS,16,19,34,01
131,MS,23,35,57,01
132,MSa,29,58,86,01
133,MSaa,37,87,123,01
134,MSaaa,47,124,170,01
135,MSaaaa,24,171,194,01
136,MSaaap,24,171,194,01
137,MSaap,50,124,173,01
138,MSaapa,21,174,194,01
139,MSaapp,21,174,194,01
140,MSap,32,87,118,01
141,MSapa,37,119,155,01
142,MSapaa,39,156,194,01
143,MSapap,39,156,194,01
144,MSapp,43,119,161,01
145,MSappa,33,162,194,01
146,MSappp,33,162,194,01
147,MSp,27,58,84,01
148,MSpa,35,85,119,01
149,MSpaa,43,120,162,01
150,MSpaaa,32,163,194,01
151,MSpaap,32,163,194,01
152,MSpap,42,120,161,01
153,MSpapa,33,162,194,01
154,MSpapp,33,162,194,01
155,MSpp,32,85,116,01
156,MSppa,43,117,159,01
157,MSppaa,35,160,194,01
158,MSppap,35,160,194,01
159,MSppp,44,117,160,01
160,MSpppa,34,161,194,01
161,MSpppp,34,161,194,01
162,E,24,35,58,01
163,Ea,28,59,86,01
164,Eaa,36,87,122,01
165,Eaaa,48,123,170,01
166,Eaaaa,24,171,194,01
167,Eaaap,24,171,194,01
168,Eaap,44,123,166,01
169,Eaapa,28,167,194,01
170,Eaapp,28,167,194,01
171,Eap,32,87,118,01
172,Eapa,42,119,160,01
173,Eapaa,34,161,194,01
174,Eapap,34,161,194,01
175,Eapp,40,119,158,01
176,Eappa,36,159,194,01
177,Eappp,36,159,194,01
178,Ep,28,59,86,01
179,Epa,37,87,123,01
180,Epaa,48,124,171,01
181,Epaaa,23,172,194,01
182,Epaap,23,172,194,01
183,Epap,44,124,167,01
184,Epapa,27,168,194,01
185,Epapp,27,168,194,01
186,Epp,33,87,119,01
187,Eppa,43,120,162,01
188,Eppaa,32,163,194,01
189,Eppap,32,163,194,01
190,Eppp,41,120,160,01
191,Epppa,34,161,194,01
192,Epppp,34,161,194,01
193,P2,16,19,34,01
194,C,25,35,59,01
195,Ca,26,60,85,01
196,Caa,45,86,130,01
