t,cell_id,z,y,x,volume
0,1,17.0,251.0,189.0,75.0
0,256,17.0,153.0,387.0,75.0
0,511,16.0,366.0,380.0,75.0
0,640,18.0,269.0,562.0,75.0
1,1,17.0,226.0,190.0,75.0
1,256,16.0,163.0,395.0,75.0
1,511,17.0,385.0,365.0,75.0
1,640,18.0,254.0,556.0,75.0
2,1,17.0,234.0,201.0,75.0
2,256,17.0,178.0,397.0,75.0
2,511,17.0,388.0,347.0,75.0
2,640,18.0,251.0,551.0,75.0
3,1,15.0,234.0,209.0,75.0
3,256,16.0,198.0,388.0,75.0
3,511,17.0,388.0,362.0,75.0
3,640,17.0,246.0,554.0,75.0
4,2,13.0,247.0,198.0,75.0
4,129,19.0,230.0,214.0,75.0
4,257,13.0,197.0,379.0,75.0
4,384,19.0,186.0,395.0,75.0
4,511,18.0,391.0,383.0,75.0
4,640,15.0,237.0,538.0,75.0
5,2,14.0,261.0,182.0,75.0
5,129,19.0,197.0,211.0,75.0
5,257,11.0,211.0,388.0,75.0
5,384,18.0,173.0,416.0,75.0
5,511,20.0,365.0,378.0,75.0
5,640,16.0,284.0,537.0,75.0
6,2,16.0,273.0,180.0,75.0
6,129,17.0,193.0,225.0,75.0
6,257,11.0,230.0,389.0,75.0
6,384,16.0,168.0,427.0,75.0
6,511,20.0,335.0,379.0,75.0
6,640,18.0,302.0,534.0,75.0
7,2,17.0,278.0,164.0,75.0
7,129,19.0,171.0,229.0,75.0
7,257,10.0,249.0,383.0,75.0
7,384,15.0,160.0,438.0,75.0
7,512,22.0,331.0,354.0,75.0
7,609,22.0,339.0,399.0,75.0
7,640,18.0,303.0,534.0,75.0
8,2,16.0,304.0,156.0,75.0
8,129,19.0,151.0,228.0,75.0
8,257,10.0,253.0,384.0,75.0
8,384,20.0,145.0,429.0,75.0
8,512,22.0,336.0,354.0,75.0
8,609,21.0,349.0,427.0,75.0
8,640,17.0,283.0,543.0,75.0
9,2,14.0,309.0,159.0,75.0
9,129,19.0,140.0,241.0,75.0
9,257,10.0,274.0,377.0,75.0
9,384,22.0,149.0,426.0,75.0
9,512,22.0,345.0,347.0,75.0
9,609,20.0,352.0,434.0,75.0
9,640,19.0,275.0,534.0,75.0
10,2,13.0,302.0,162.0,75.0
10,129,18.0,138.0,248.0,75.0
10,257,11.0,292.0,366.0,75.0
10,384,23.0,148.0,415.0,75.0
10,512,24.0,346.0,326.0,75.0
10,609,20.0,359.0,438.0,75.0
10,640,17.0,287.0,533.0,75.0
11,2,13.0,311.0,169.0,75.0
11,129,17.0,143.0,259.0,75.0
11,257,11.0,309.0,358.0,75.0
11,384,23.0,164.0,413.0,75.0
11,512,25.0,345.0,310.0,75.0
11,609,20.0,355.0,450.0,75.0
11,641,15.0,257.0,527.0,75.0
11,702,17.0,312.0,548.0,75.0
12,2,15.0,325.0,159.0,75.0
12,129,17.0,140.0,247.0,75.0
12,257,10.0,324.0,357.0,75.0
12,384,23.0,163.0,429.0,75.0
12,512,25.0,326.0,309.0,75.0
12,609,19.0,352.0,463.0,75.0
12,641,14.0,243.0,518.0,75.0
12,702,18.0,313.0,546.0,75.0
13,2,15.0,312.0,162.0,75.0
13,129,15.0,146.0,257.0,75.0
13,257,11.0,344.0,361.0,75.0
13,384,21.0,158.0,440.0,75.0
13,512,23.0,311.0,305.0,75.0
13,609,20.0,348.0,482.0,75.0
13,641,13.0,240.0,517.0,75.0
13,702,20.0,311.0,552.0,75.0
14,2,16.0,310.0,161.0,75.0
14,129,15.0,140.0,264.0,75.0
14,257,12.0,355.0,363.0,75.0
14,384,22.0,163.0,448.0,75.0
14,512,23.0,302.0,306.0,75.0
14,609,20.0,352.0,479.0,75.0
14,641,13.0,246.0,514.0,75.0
14,702,21.0,322.0,555.0,75.0
15,2,17.0,306.0,158.0,75.0
15,129,14.0,139.0,272.0,75.0
15,257,12.0,358.0,353.0,75.0
15,384,23.0,154.0,459.0,75.0
15,512,23.0,298.0,311.0,75.0
15,609,20.0,353.0,481.0,75.0
15,641,11.0,249.0,508.0,75.0
15,702,21.0,316.0,577.0,75.0
16,2,17.0,288.0,150.0,75.0
16,129,13.0,143.0,283.0,75.0
16,257,11.0,359.0,327.0,75.0
16,384,23.0,154.0,463.0,75.0
16,512,23.0,299.0,316.0,75.0
16,609,21.0,351.0,478.0,75.0
16,641,10.0,254.0,500.0,75.0
16,702,20.0,316.0,577.0,75.0
17,2,17.0,276.0,162.0,75.0
17,129,14.0,160.0,301.0,75.0
17,257,12.0,359.0,320.0,75.0
17,384,21.0,174.0,452.0,75.0
17,512,24.0,295.0,321.0,75.0
17,609,20.0,354.0,475.0,75.0
17,641,10.0,257.0,492.0,75.0
17,702,20.0,324.0,571.0,75.0
18,3,15.0,251.0,161.0,75.0
18,66,19.0,260.0,167.0,75.0
18,129,14.0,168.0,308.0,75.0
18,257,13.0,354.0,296.0,75.0
18,385,21.0,160.0,445.0,75.0
18,448,22.0,196.0,455.0,75.0
18,512,24.0,285.0,322.0,75.0
18,609,20.0,363.0,474.0,75.0
18,641,10.0,261.0,491.0,75.0
18,702,19.0,335.0,564.0,75.0
19,3,14.0,245.0,150.0,75.0
19,66,21.0,287.0,169.0,75.0
19,130,17.0,153.0,282.0,75.0
19,193,12.0,156.0,332.0,75.0
19,258,10.0,322.0,280.0,75.0
19,321,14.0,366.0,317.0,75.0
19,385,22.0,159.0,438.0,75.0
19,448,22.0,222.0,466.0,75.0
19,512,23.0,299.0,334.0,75.0
19,609,18.0,368.0,476.0,75.0
19,641,10.0,237.0,501.0,75.0
19,702,18.0,328.0,568.0,75.0
20,3,17.0,254.0,144.0,75.0
20,66,21.0,299.0,176.0,75.0
20,130,20.0,151.0,279.0,75.0
20,193,13.0,153.0,330.0,75.0
20,258,10.0,298.0,277.0,75.0
20,321,13.0,356.0,324.0,75.0
20,385,23.0,160.0,438.0,75.0
20,448,22.0,233.0,473.0,75.0
20,512,22.0,309.0,341.0,75.0
20,609,18.0,372.0,475.0,75.0
20,641,11.0,213.0,508.0,75.0
20,702,17.0,319.0,575.0,75.0
21,3,15.0,243.0,149.0,75.0
21,66,20.0,310.0,192.0,75.0
21,130,21.0,160.0,266.0,75.0
21,193,14.0,154.0,323.0,75.0
21,258,10.0,304.0,269.0,75.0
21,321,12.0,358.0,334.0,75.0
21,385,23.0,154.0,429.0,75.0
21,448,22.0,231.0,478.0,75.0
21,512,21.0,315.0,340.0,75.0
21,609,18.0,358.0,478.0,75.0
21,641,11.0,201.0,501.0,75.0
21,702,17.0,298.0,578.0,75.0
22,3,15.0,232.0,143.0,75.0
22,66,21.0,333.0,203.0,75.0
